"","id","Letter","CorrAnswer","Stimulus","nback_run.thisRepN","nback_run.thisTrialN","nback_run.thisN","nback_run.thisIndex","fixcross.started","nback_trial.started","trial_resp.keys","trial_resp.corr","currentlevel","trial_resp.rt","Participant","date","expName","psychopyVersion","frameRate","X"
"57","C02N10_t1_nback.csv","Q","left","Distractor",0,56,56,56,280.796354533751,282.797237381011,"left",1,1,0.392691872511932,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"58","C02N10_t1_nback.csv","Z","left","Pretarget",0,57,57,57,284.296202313175,286.297355917371,"left",1,1,0.396626188932714,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"59","C02N10_t1_nback.csv","Z","right","Target",0,58,58,58,287.795252578687,289.795430623828,"right",1,1,0.674306995377265,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"60","C02N10_t1_nback.csv","B","left","Distractor",0,59,59,59,291.295528308055,293.296661380919,"left",1,1,0.421057190344982,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"61","C02N10_t1_nback.csv","S","left","Pretarget",0,60,60,60,294.796284598903,296.797645120424,"left",1,1,0.424227356266783,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"62","C02N10_t1_nback.csv","S","right","Target",0,61,61,61,298.295454844384,300.295494303036,"right",1,1,0.398489086474001,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"63","C02N10_t1_nback.csv","T","left","Distractor",0,62,62,62,301.795499596271,303.796512047561,"left",1,1,0.417365400278868,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"64","C02N10_t1_nback.csv","D","left","Distractor",0,63,63,63,305.295455485988,307.297370353463,"left",1,1,0.388438358045278,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"65","C02N10_t1_nback.csv","R","left","Distractor",0,0,0,0,321.892518158198,323.881022216505,"left",1,1,0.556791427655298,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"66","C02N10_t1_nback.csv","V","left","Distractor",0,1,1,1,325.3791338152,327.378273744886,"left",1,1,0.371691207488766,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
